weight-training,举重锻炼
balmy,"a. 芳香的, 温和的, 止痛的
[化] 香脂气味的"
bearable,"a. 可忍受的, 支承得住的"
mauve,"n. 苯胺紫, 淡紫色
a. 淡紫色的"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
[计] 分隔符; 中断; DOS内部命令:设定扫描中断按键的时机"
obese,"a. 肥胖的
[医] 肥胖的"
obesity,"n. 肥胖
[医] 肥胖, 多脂"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
naive,"a. 天真的, 纯真的, 幼稚的"
exceptional,"a. 例外的, 异常的, 特别的"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
[计] 轮询"
finalist,"n. 决赛选手, 决赛队"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
overrun,超限运转；走过头了
teenage,"a. 青少年的, 十几岁的少年的"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
ex-gangster,无
dealer,"n. 经销商, 商人
[经] 交易员, 贩卖商"
coexist,vi. 共存
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
sandbank,砂坝
incoming,[网络] 打进来；重要的特性是传入的；从内而来
tide,[网络] -浪潮
coastguard,"海岸警卫队
[经] 缉私人员, 海岸警卫"
quicksand,流砂
wade,"vi. 跋涉
vt. 涉水
n. 跋涉, 浅滩"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
[计] 提示符; DOS内部命令:设定DOS命令行的提示符"
nominee,"n. 被提名者, 被任命者
[经] 被指定人"
layout,"n. 布局；设计；规划；安排
[网络] 布置；摆开；花费"
prose, [法]代表自己
illustration,"n. 例证, 插图
[化] 插图"
individualised,v. 赋予个性
qualified,"a. 有资格的
[经] 合格的, 有条件的, 有限制的"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
dietary,"a. 饮食的
n. 规定食物"
aerobics,n. 有氧运动法；增氧健身法
physiotherapy,"n. 物理疗法, 理疗
[医] 物理治疗, 理疗"
sauna,n. 桑拿浴
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
membership,"n. 会员的资格, 全体会员, 会员数目
[法] 会员资格, 成员资格, 会籍"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
clinical,"a. 临床的, 门诊部的
[医] 临床的, 临证的"
consultation,"n. 请教, 咨询, 磋商会
[医] 会诊"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
harsh,"a. 粗糙的, 刺耳的, 严厉的
[法] 粗糙的, 严厉的, 苛刻的"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
meow,"vi. 猫叫
n. 猫叫声"
innermost,"a. 内心的, 秘密的, 最深处的"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
[计] 切换开关"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
derange,"vt. 扰乱, 使发狂"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
sibling,"n. 兄弟, 同胞
[医] 同胞(兄弟姐妹)"
companionship,"n. 交往, 友谊, 一群同伴"
psychologically,"adv. 心理上, 从心理学角度"
tertiary,"a. 第三的, 第三位的, 第三产业的
n. 第三修道会会员, 第三纪
第三的; 三代的(指无机盐)"
tertiary education, 高等教育
undergraduate,"n. 大学生；大学肄业生
a. 大学生的"
vocational,"a. 职业的
[法] 职业上的, 天职的"
zoology,"n. 动物学, 动物区系
[医] 动物学"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
prestigious,a. 享有声望的
interconnect,vt. 使互相连接
postgraduate,[网络] 研究生；研究生文凭；硕士
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
[化] 仲(指CH-3...CH(CH-3)-型支链烃基或指二元胺及R-2CHOH型的醇); 第二"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
[医] 泉"
refresher,"n. 使清新的事物, 使恢复记忆的事物, 饮料, 酒, 复习, 最新动态介绍, 补习材料
[医] 复习课程"
myth,"n. 神话, 虚构的事, 虚构的人"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
inheritance,"n. 遗传, 遗产
[医] 遗传"
inability,在能力方面
dubious,"a. 可疑的, 不确定的"
derive,"vt. 得自
vi. 起源"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
[电] 持续"
questionnaire,调查表
subject,[网络] 主体；对象；主题
agility,"n. 敏捷, 灵活, 机敏"
significantly,adv. 值得注目地；意味深长地
nocturnal,"a. 夜的, 夜曲的
[医] 夜间的"
predator,"n. 食肉动物, 掠夺者
[医] 捕食者"
pushy,"a. 粗鲁的, 固执己见的, 好胜而爱出风头的"
overstimulate,[网络] 过度刺激
self-esteem, 自尊
rife,"a. 流行的, 盛传的, 充满的"
expectant,"n. 预期者, 期待者, 候选人
a. 预期的, 期待的"
self-respect, [体]自尊
enrolment,"n. 登记, 注册, 入伍, 入学, 入会, 注册人数, 入学人数"
plethora,"n. 过多, 过剩, 多血症
[医] 多血[症]"
arithmetic,"n. 算术, 算术知识
[机] 算术; 算术的"
psychiatric,"a. 精神病学的, 医精神病的
[医] 精神病学的"
Dutch,"n. 荷兰人, 荷兰语
a. 荷兰的"
beset,[网络] 准备好
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
internalise,v. 使成为主观
speculate,"vi. 深思, 推测, 投机
[经] 投机"
psychiatrist,n. 精神病学家，精神病医生
idiot,"n. 白痴, 极蠢之人
[医] 白痴者, 痴子"
savant,"n. 学者, 专家"
depict,"vt. 描述, 描写"
conscious,adj. 意识到的；故意的；神志清醒的
zap,[计] Windows软件安装配置文件
zapper,"微波(或辐射)灭虫器, 微波除草器"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
[医] 磁[性]的"
stimulation,"n. 刺激, 激励, 鼓舞
[医] 兴奋, 刺激"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
inactivity,[网络] 在活动；目标感
citizenship,公民资格
cookery,"n. 烹调法, 烹调术"
DIY,[网络] 自己来动手；专业装修商及自己动手；动动手系列
Do It Yourself,"adj. (业余爱好者等)自制的
[网络] 自己动手；自己动手做；自己做"
incompetent,"a. 无能力的, 无资格的, 机能不全的, 不胜任的
n. 无能力者"
assembly,"n. 与会者, 集会, 装配, 组件
[化] 装配
[计] 汇编语言"
fundamentally,"adv. 基础, 首要, 主要, 十分重要, 基本, 根本, 原始, 基频, 基音, 基谐波"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
undue,"a. 不适当的, 过度的, 未到期的
[经] 未到(支付)期的"
essentially,"adv. 本质上, 本来"
empathy,"n. 移情作用, 共鸣
[医] 移情, 神入"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
[计] 允许误差"
viewpoint,[计] 观察点
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
overt,"a. 明显的, 公然的, 蓄意的
[法] 明显的, 公开的"
interpersonal,[网络] 人际；人际间；人际关系
entity,"n. 实体, 实存物, 存在
[计] 实体"
interteam,无
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
[医] 不耐[性]"
homophobia,n. 对同性恋的憎恶（或恐惧）
sexism,"n. 性别歧视, 歧视女性"
expertise,专家
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
intake,[网络] 吸收；语言获得
nostril,"n. 鼻孔
[医] 鼻孔"
seal,[网络] 那太简单了
chin,n. 秦
resuscitate,"v. (使)复苏, (使)复兴"
self-preservation,自我保护
irreparable,"a. 不能修补的, 不能挽回的
[法] 不可弥补的, 不可挽回的"
straighten,"vt. 弄直, 整顿, 清理, 使改正
vi. 直起来, 改正, 好转"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
exhale,"v. 呼气, 发出, 散发"
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
[法] 无关的, 不相干的, 离题的"
literacy,"n. 读写能力, 识字, 精通文学"
performance-related pay,[网络] 绩效工资；效绩与薪金挂钩；绩效报酬
cramming,"n. 塞满, 挤满, 填鸭式教学法"
mockery,"n. 嘲弄, 笑柄, 歪曲"
tuition,"n. 学费, 讲授"
chatty,"a. 饶舌的, 爱讲闲话的"
grumpy,"a. 性情乖戾的, 脾气暴躁的, 生气的"
irritable,"a. 易怒的, 急躁的
[医] 应激性的, 过敏的"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
sulk,"n. 闹情绪, 闷闷不乐
vi. 不高兴, 闷闷不乐, 不悦, 生气, 愠怒"
breezy,"a. 有微风的, 通风好的, 活泼的"
loathe,"vt. 厌恶, 憎恶"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
tidiness,"n. 整齐, 整洁"
fanatically,"adv. 狂热地, 盲信地"
tut,"interj. 啧啧(表示不赞成、责难)
n. 啧啧声音
vi. 发啧啧声"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
drive sb. mad,un. 变疯
despise,vt. 轻视
intrude,"vi. 闯入, 侵入
vt. 强加于"
extrovert,"n. 外向性格的人
[医] 外倾[性格]者"
pry,"n. 杠杆, 窥探, 好奇者
vi. 打听, 窥探
vt. 撬动, 撬开, 费力得到"
suspicious,"a. 可疑的, 多疑的, 怀疑的
[法] 怀疑的, 令人怀疑的, 可疑的"
childishly,"adv. 天真地, 幼小地; 幼稚地"
go against,"反对, 违反, 不利于"
shipwreck,"船舶失事
船舶残骸"
cameraman,"摄影师,摄影记者"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
shortlist,最终候选人名单
bear in mind,"na. 记住；铭记不忘；注意
[网络] 牢记在心；记在心里；考虑到"
rating,"n. 等级, 额定功率, 责骂
[经] 等级评定"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
irresponsible,a. 不负责任的；不可靠的
swimsuit, 游泳衣
interaction,"un. (美国)《相互影响》月刊
[网络] 互动；作用；动作补间"
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
loner,"n. 喜孤独的人, 不合群的动物"
upgrade,"上坡,往上走"
distracted,a. 心烦意乱的
campus,"n. 校园, 大学生活"
pros,n. 赞成者；赞成的意见（pro的复数）
make use of,使用
meet up with,偶遇
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
washing powder, 洗涤（剂）粉
untidy,"a. 不整齐的, 懒散的, 混乱的"
hassle,"n. 激烈而持久的争论
vi. 争论
vt. 与...争辩, 使烦恼"
unfriendly,comb.form 表示“使用不便的”，“有害的”
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
[化] 报废; 拒收"
reassurance,"n. 安心, 放心, 再保证"
frustration,n. 挫折
enormous,"a. 巨大的, 庞大的"
unhappiness,n. 苦恼；忧愁
overhear,"vt. 无意中听到, 偷听"
rumour,"n. 谣言, 传闻
vt. 谣传"
turn against,"na. 背叛；使对抗；厌恶
[网络] 反对；转而反对；反抗"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
[计] 校验子; 并发位"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
hormonal,"a. 荷尔蒙的
[医] 激素的"
on the heels of,"紧跟在…后面,尾随"
conception,"n. 观念, 概念
[医] 妊娠, 受孕; 概念"
endurance,"n. 忍耐, 忍耐力, 耐性
[机] 持九性"
gender,"n. 性
vt. 产生"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
cosmetic,"n. 化妆品
a. 化妆用的"
client,"n. 客户, 顾客, 委托人
[计] 客户, 客户机, 客户机程序"
youthful,"a. 年轻的, 青年的
[法] 青年的, 年轻的"
anthropologist,n. 人类学家
outstrip,"vt. 追过, 胜过, 凌驾"
antisocial,adj. 反社会的
susceptible,"a. 易受影响的, 易感动的, 容许...的
[法] 易感的, 易受影响的, 容许"
infectious,"a. 有传染性的, 易传染的
[医] 传染性的"
side effect,"副作用
[计] 副作用"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
motherhood,n. 母性；母亲身份；母亲们（总称）
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
rear,[地名] 雷河 ( 英 )
parenthood,n. 父母身分
Mozart,n. 莫扎特
Yale,n. 耶鲁
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
Texas,n. 德克萨斯
Sydney,n. 悉尼（澳大利亚港市）
Maastricht,n. 马斯特里赫特（荷兰东南部城市）
Flinders,pl. 碎片
Adelaide,"n. 阿德莱德（女子名, 澳大利亚港市）"
